Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,Mode,TStep,Comment,URCALL,RPT1CALL,RPT2CALL,Digital Code
1,EI0IPG,29.68000,-,0.1,Tone,67.0,88.5,023,NN,FM,5,"Carndonagh, Co. Donegal",,,,
2,EI2TGR,145.60000,-,0.6,Tone,77.0,88.5,023,NN,FM,5,"Kiltimagh, Co. Mayo",,,,
3,EI2TRR,145.60000,-,0.6,Tone,88.5,88.5,023,NN,FM,5,"Three Rock, Co. Dublin",,,,
4,EI2TBR,145.62500,-,0.6,,88.5,88.5,023,NN,FM,5,"Tonabrucky, Co. Galway",,,,
5,EI2DBR,145.65000,-,0.6,,88.5,88.5,023,NN,FM,5,"Devilâ€™s Bit, Co. Tipperary",,,,
6,EI2CCR,145.67500,-,0.6,Tone,110.9,88.5,023,NN,FM,5,"Clermont Cairn, Co. Louth",,,,
7,EI2HHR,145.67500,-,0.6,,88.5,88.5,023,NN,FM,5,"Helvick Head, Co. Waterford",,,,
8,EI2TKR,145.70000,-,0.6,Tone,77.0,88.5,023,NN,FM,5,"Truskmore",,,,
9,EI2IPG,145.71250,-,0.6,Tone,67.0,88.5,023,NN,FM,5,"Carndonagh, Co. Donegal",,,,
10,EI2TAG,145.72500,-,0.6,,88.5,88.5,023,NN,Auto,5,"Tountinna",,,,
11,EI2MGR,145.75000,-,0.6,,88.5,88.5,023,NN,FM,5,"Mullaghanish, Cork",,,,
12,EI2KPR,145.76250,-,0.6,Tone,88.5,88.5,023,NN,FM,5,"Kippure, Co. Dublin",,,,
13,EI2LLX,145.78750,-,0.6,Tone,88.5,88.5,023,NN,FM,5,"Laughan Lea, Co. Cavan",,,,
14,EI7HXR,430.85000,+,7.6,Tone,103.5,88.5,023,NN,FM,5,"Harney's Cross",,,,
15,EI7MHR,430.87500,+,7.6,Tone,103.5,88.5,023,NN,FM,5,"Mullaghanish, Co. Cork",,,,
16,EI7FXR,430.90000,+,7.6,Tone,103.5,88.5,023,NN,FM,5,"Farmers Cross, Cork City",,,,
17,EI7SMR,430.92500,+,7.6,Tone,103.5,88.5,023,NN,FM,5,"Seefin Mountain, North Cork",,,,
18,EI7MLR,430.95000,+,7.6,Tone,156.7,88.5,023,NN,FM,5,"Raheendarragh, Mt Leinster",,,,
19,EI7MGR,430.97500,+,7.6,Tone,103.5,103.5,023,NN,FM,5,"Cummeennabuddoge, Mullaghanish Mtn",,,,
20,EI1LLR,430.97500,+,7.6,Tone,88.5,88.5,023,NN,FM,5,"Laughan Lea, Co. Cavan",,,,
21,EI7HAR,433.00000,+,1.6,Tone,88.5,88.5,023,NN,FM,5,"Hill of Allen, Co. Kildare",,,,
22,EI7CCR,433.02500,+,1.6,Tone,88.5,88.5,023,NN,FM,5,"Clermont Cairn, Co. Louth",,,,
23,EI7LLR,433.07500,+,1.6,Tone,88.5,88.5,023,NN,FM,5,"Laughan Lea, Co. Cavan",,,,
24,EI7WHR,433.12500,+,1.6,Tone,103.5,88.5,023,NN,FM,5,"Woodcock Hill, Co. Limerick",,,,
25,EI7TRR,433.22500,+,1.6,Tone,88.5,88.5,023,NN,FM,5,"Three Rock, Co. Dublin",,,,
26,EI7SHR,433.25000,+,1.6,,88.5,88.5,023,NN,FM,5,"Spur Hill, Cork City",,,,
27,EI7WDR,433.27500,+,1.6,,88.5,88.5,023,NN,FM,5,"Carrickphierish, Waterford City",,,,
28,EI7TBR,433.35000,+,1.6,,88.5,88.5,023,NN,FM,5,"Tonabrucky, Co. Galway",,,,
29,EI7DNR,438.60000,-,7.6,,88.5,88.5,023,NN,FM,5,"Dublin",,,,
30,EI7RHD,439.45000,-,9,,88.5,88.5,23,NN,DMR,5,"Galway, Letteragh",,,,
31,EI7CDD,439.65000,-,9,Tone,103.5,103.5,23,NN,DV,5,"Carronadavderg",,,,
